Restaurant,Nickname,Review,Date,Revisit_Count,Reviewer_Review_Count,Reviewer_Photo_Count
버거부기,Happy Day1004,"버거부기에서 수제버거를 포장해왔는데요~
불갈비머쉬부기는 불갈비가 패티로 들어있어서 맛이 특별했어요~🤩 수제버거의 또 다른 색다른 맛이에요~매력있는 맛이었어요~👍👍
클래식 치즈부기는 고기패티와 치즈의 만남이 역시 실망시키지 않네요~😘
성남수제버거 진짜 맛있어요~~~👏👏👏👏
더보기",23.11.18.토,1,231,1
버거부기,낙화41,수제버거 맛있어요 ㅎㅎㅎ 음악도 좋습니다. 수제버거가 생각 날 때 자주 올 것 같아요.,24.4.15.월,1,12,8
버거부기,wudxod,"맛있고 사장님과 직원분이 너무 친절합니다!!
대존맛",24.5.2.목,1,13,10
버거부기,dls****,리뷰는 처음 쓰지만 3번째 방문인데 가게에서 나오는 음악이랑 분위기가 너무 좋아요! 음식은 당연히 맛있고 칼로 썰어먹는 햄버거 신선하네요 굳굳,24.5.2.목,1,11,11
버거부기,Yoon119,수제버거 맛있어용 ٩( ᐛ )و,24.4.19.금,1,20,37
버거부기,nh****,패티도 빵도 맛있고 감자튀김도 바로튀겨서 바삭하니 좋았습니당!🙂🙃🙂,24.5.1.수,1,8,3
버거부기,Dewy88,"아이랑 둘이 1인 1 세트
미니 붕어빵까지 흡입! 맛있게 잘먹고갑니다🍔",24.4.13.토,1,27,19
버거부기,안녕나는오이,분위기도 너무 좋고 맛있어요ㅎㅎ,24.4.22.월,1,43,22
버거부기,김영은45,"비닐장갑 주시는 센스
덕분에 맛있는 음식 편하게 먹었습니다",24.5.4.토,1,61,57
버거부기,우마왕16,하이볼 맛있게 잘 말아주셔서 잘 먹고 갑니다,24.6.28.금,7,687,256
버거부기,WON18,"처음왔는데 가게도 너무이쁘고
햄버거 감튀 너무 맛있어요!!
다음엔 내슈빌 먹고싶어요",24.4.3.수,1,23,14
버거부기,이주형40,매장이 엄청 이쁘고 버거도 맛있러요~~,24.4.18.목,1,19,16
버거부기,Johnsignal,맛있습니다 :) 할리갈릭버거 마늘향 좋아요,24.4.8.월,1,16,14
버거부기,맛잘알배찌,복정동 수제버거 맛집! 저렴한 가격에 퀄 높은 수제버거를 맛볼 수 있어요! 인테리어 이쁜건 말모말모! 발리 느낌나는 휴양지 인테리어에서 즐기는 버거라닛! 클래식치즈부기랑 내슈빌핫치킨버거 둘다 넘맛있었어요! 트러플크림스프도 추천❤️,23.10.26.목,1,447,2
버거부기,신사라7,"휴양지 온 것 같고 좋아요!!
버거도 존맛..🫶🏻",24.4.19.금,1,9,15
버거부기,솜37,"너무 맛있네용
🍔버거부기 햄벌걸 먹은 이후로
아무 버거나 못먹게되었어요....책임졍>.<",24.4.2.화,2,88,155
버거부기,sz****,맛잇게 잘 먹었습니다. 다음에도 또 올거에요,24.4.18.목,1,15,11
버거부기,유수1657,"지난 번에 방문하고 맛있어서 재방문합니다✌️
매장도 깔끔하고 예쁩니다!",24.5.7.화,1,9,14
버거부기,JHN8,"처음 오는데 마싯네요!!
학교랑은 좀 멀어서 공강 시간 길 때 또 올게요 🤩🤩

+노래가 너무 조아요~~ 🥰🥰🥰
더보기",24.3.28.목,1,16,16
버거부기,Timitim,가성비 맛집. 맛도있고 분위기도있고 좋아요.,24.4.19.금,1,24,19
버거부기,ㅇㅅㅇ02,저번에 한 번 점심 먹으로 갔었는데 맛있어가지고 이번에 또 왔어요! 맛도 좋고 분위기도 차분해서 알차게 먹었습니다🥰,24.5.2.목,1,33,16
버거부기,김건우4493,"수제버거 찾던중 새로발견한 곳이라 너무 설레는 마음으로 들어왔어용
맛집느낌 물씬~",24.5.4.토,1,17,19
버거부기,에라곤92,패티가 촉촉하고 정말 맛있습니다!,24.4.16.화,1,16,20
버거부기,로세유이,"부모님과 아이들 모시고 왔는데
오픈된 공간이라 음식 연기 걱정안되서 넘 좋아요🫶🏻🫶🏻

아이가 햄버거 먹고 싶다고 해서
왔는데 여러가지로 만족합니다!
더보기",24.4.13.토,1,137,31
버거부기,rud****,점심시간에 자주와요 너무 맛있어요~,24.4.19.금,1,9,4
버거부기,김하랑41,버거 너무 마싯어용 노래도 쌈@뽕해요 🥵💦💦 개맛집 ㅇㅈ합니더,24.3.28.목,1,23,22
버거부기,다당113,"분위기도 좋고 친절하시고 너무 맛있게 잘 먹었어요!
다음에 또 올게요 ㅎㅎ",24.4.3.수,1,9,4
버거부기,구민정99,"내슈빌 핫치킨 진ㅋ자 맛있어요 ㅎㅎ
양도 많고 바람 선선하니 좋네요❤️",24.3.30.토,1,23,25
버거부기,끼리기리기리,간만에 수제버거 너무 맛있게 먹었어요! 그리고 사소한 부분에도 세심하게 신경써주셔서 너무 감동입니다. 이근처 버거는 여기가 최고인것 같아요 감사합니다!!,24.2.24.토,1,55,23
버거부기,wnsgh2444,마싯어요! 자주 오는 수제버거집!!,24.5.2.목,2,9,6
버거부기,민주65,"맛있어서 찾아왔어요! 패티가 느끼하지않고 맛있습니당
감튀도 맛있어요!",24.4.19.금,1,32,20
버거부기,kju****,음식 너무 맛있어요! 특히 패티가 정말 마음에 들어요! 다음에 또 오고 싶습니다ㅎㅎ,24.4.17.수,1,15,16
버거부기,아리랑954,치킨이 진짜 갓 구운 맛이에요. 감튀도 맛있네요,24.3.28.목,1,26,5
버거부기,ajoiovleo,자주 가다가 이제서야 리뷰를 남겨요! 올때마다 항상 너무 친절하시고 버거 맛이랑 퀄리티가 진짜 매번 감탄하면서 먹어요ㅠㅠ 그리고 매장 분위기가 진짜 예쁘니까 사진찍기도 좋아요!,23.12.8.금,1,482,72
